EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,Aruba,0.76487398,0.842242663,1.017002289,1.093028417,1.075665378,1.304509751,1.290385143,1.472614708,1.559235061,1.628305855,1.691492314,1.732086583,1.702076332,1.720132833,1.936028387,2.020451576,2.187511326,2.455544936,2.716327758,3.621398404,3.449434901,3.742764879,3.909436471,3.729529577,3.879262878,4.073369301,2.713473621,4.134452854,4.146224616,3.958564749,3.69569917,3.704442173,3.823711358,4.249211776,4.356899085,4.625041454,4.567731675,4.948590529,4.864885918,5.193760614,4.991757192,3.303428588,3.996862701,4.495219333,4.577104347,4.56638506,4.713838904,4.438255737,4.75136563,5.429571265,4.648065042,4.47842764,4.641894906
AFG,Afghanistan,1.558155339,1.514546871,1.308853576,1.327429804,1.402300275,1.428421349,1.400988049,1.389203281,1.337124978,1.314733372,1.322558189,1.349347966,1.377107214,1.411929863,1.364306397,1.389246961,1.262597319,1.237538403,1.24770054,1.160737201,1.124621767,1.066259303,0.922928585,0.865918766,0.817958226,0.796788005,0.839897426,0.873736707,0.896454283,0.924537483,0.798525912,0.686232544,0.775468057,0.768800981,0.737570026,0.72559808,0.712960251,0.737036553,0.845966449,0.939622174,1.048180039,1.160279428,1.057582239,0.973788172,0.952880092,0.925066185,0.88201842,0.894256049,0.864368835,0.814933087,0.739737691,0.74404319,0.731972826
AGO,Angola,2.971846976,2.889798693,3.202472953,3.349277992,3.355909382,3.109663004,2.526315578,3.028037805,3.193998815,3.164643876,3.11926268,2.856598526,2.785447883,2.877701476,2.874099832,2.951811453,3.013941987,3.126238266,3.26997327,3.218029554,2.872063726,2.774223902,2.617819555,2.818343623,3.534781262,3.948525124,4.588396371,4.653317974,4.867773557,4.780026422,4.346558762,4.080619703,3.872634507,3.752265499,3.945101815,3.760843875,3.284933799,3.12975699,3.218966149,3.156319489,3.34334093,3.166645048,3.124498243,3.191958428,3.164378268,3.234489164,3.022751051,2.749378707,2.54160095,2.436028311,2.18361829,2.053870838,1.900081674
AIA,Anguilla,0.6647448,0.659984595,0.670368443,0.640850746,0.674738142,0.707861054,0.679610956,0.692013116,0.744484942,0.789513843,0.974433037,1.327598788,1.409396431,1.272228438,1.224292747,0.874799975,0.782079943,1.185735916,1.097302382,1.101894125,1.061477405,1.207305549,1.213080069,1.412187752,1.725194687,2.035552311,1.97457201,1.670396157,1.529383013,1.437092024,1.751395886,1.755301118,1.269643468,1.519972746,1.436374994,1.425603162,1.335257806,1.277653016,1.517356921,1.840024614,2.105049862,2.228272082,2.205059998,2.319824684,2.294321567,2.280345055,2.284677898,2.313660554,2.23535798,2.174801072,1.839091554,1.817830035,1.873252763
ALB,Albania,3.841369955,3.726498636,4.055711009,3.744120319,3.776578103,3.779691917,3.951595219,4.088049585,4.39885946,4.750277937,4.728915968,4.279079309,4.428535151,4.643154248,4.656857069,4.407871726,4.374517971,4.35465696,4.222021542,4.11520133,3.525316536,2.77347672,1.911686363,1.953619142,2.205151492,2.113809279,2.039308135,1.797646639,1.877935387,2.259746146,2.322696524,2.384597778,2.588360949,2.65685772,2.736367765,2.620855257,2.657027097,2.669268255,2.625800659,2.643966615,2.768819536,2.919185328,2.826553857,2.917092361,3.083603963,3.025937517,2.891528149,3.167459053,3.145275564,2.97590745,2.672676057,2.68278583,2.708985034
ANT,Curaçao,104.9792075,103.6790357,99.59757975,109.0522089,98.03006756,70.47067165,74.96609914,76.14127707,65.04110263,64.62013603,61.42428624,56.8527229,51.40086469,48.02853611,46.66908095,31.23867606,29.89954178,27.89642386,24.65701202,21.33867352,19.47179029,20.23275974,21.18090219,17.63448203,19.83854243,20.05776704,20.53696781,39.69543212,41.82622357,42.2655328,44.65382067,45.26725576,43.77875709,44.05899922,45.74176533,47.49952733,45.52396769,47.91521153,46.04550409,42.33919135,30.1502681,37.98960041,38.00787007,34.51159111,37.59665928,37.63490851,32.43571801,25.98459791,20.91473872,16.12278109,13.20144934,12.69199391,13.05741506
ARE,United Arab Emirates,124.7346632,127.0646058,117.1809727,125.990506,109.1653334,94.6510995,98.39146625,87.27396665,83.90504181,59.99732816,57.65542842,49.76364795,45.53446878,41.31237356,49.96190767,49.43233088,47.06386235,46.99154587,44.00217293,47.04294593,45.58019779,47.79418404,44.61578773,45.33176761,45.59815314,46.00710016,46.11150378,44.8453736,43.06809143,41.99981489,40.48385772,42.75178345,41.01232131,40.65568593,38.95244834,37.04047327,33.71309594,30.99366937,31.18038399,28.1678623,27.19432313,26.84540183,27.37767288,28.36446713,28.53043072,29.79272679,30.33064223,28.82802607,26.56442206,27.75188037,27.64471911,28.85773077,29.33210053
ARG,Argentina,9.310891244,9.300265261,9.433214506,9.590312536,9.45619129,9.331418013,9.512157765,9.762515324,9.350790333,9.432073891,9.132134578,8.795423857,8.557720772,8.655336512,8.578712611,8.178487874,8.256967679,8.272968915,8.441719238,8.309444857,8.025437331,8.034408547,7.985578036,7.957872974,8.023285877,8.010390419,8.13340806,8.181581713,8.225342221,8.339302496,8.194722588,7.992327449,7.875567734,8.394493223,8.824619519,8.808856825,9.064483463,9.140833471,9.065009559,8.413058067,8.400337256,8.492553206,8.523796788,8.657640944,8.530287328,8.639887704,8.572942772,8.564733808,8.465009893,8.286751957,7.888870936,8.241938248,8.26947528
ARM,Armenia,6.079067629,6.123928923,6.292306872,6.4726399,6.638348771,6.902679967,6.931379345,6.964486524,7.09178982,7.148944763,7.336288173,7.183051391,7.192564189,7.058529339,6.978974718,6.908330171,6.911890722,6.981949798,6.955306918,6.883824561,6.88868106,7.114656411,4.078255781,2.299673185,1.643008474,1.887827012,1.617534849,1.86221393,1.889713973,1.783102467,1.965691437,2.025161146,1.893029919,2.054823517,2.22555921,2.492118035,2.501814659,2.784627821,2.971727358,2.544780672,2.466160132,2.68575151,2.982209287,2.973651129,2.987549415,2.954469886,2.881657086,2.942878179,2.994109263,3.155714852,3.335699842,3.402246692,3.189466442
ATG,Antigua and Barbuda,2.540823351,2.602750031,2.876050925,2.859622162,2.625608146,2.950354389,2.750671066,2.924144,2.971168438,3.034928431,3.084567519,2.862581886,3.36720398,2.497728861,2.806377264,2.902297537,3.011039356,3.57935535,3.792742071,3.811013155,3.697220759,3.711749848,3.681310269,3.578861614,3.653079299,3.688722365,3.586151743,3.609116261,3.582492917,3.441219781,2.704232328,2.659063486,2.786560709,2.922554094,2.950154593,2.971879438,3.136444392,3.326995743,3.471447917,3.752634986,3.61225055,2.930802833,3.122958256,3.554293708,3.614588853,3.567234133,3.735836026,3.29102029,3.641680242,3.92700952,3.412620522,3.292272271,3.36285423
AUS,Australia,24.52828512,24.55432914,25.07103555,25.25294153,26.01226226,26.3711892,26.28670462,26.46632621,25.54658359,25.54701832,25.73520961,25.60186375,25.74461835,24.5119317,24.90590975,25.53165789,25.41617508,25.65467169,25.75048127,26.72748022,26.82975695,26.63895639,26.40527957,26.27538668,26.29326335,26.43672539,26.89613509,27.31172801,28.20759794,28.29281484,28.45937938,28.6717586,28.80866876,28.02500803,28.69775148,28.4891861,28.24106768,28.14462348,27.53474295,27.44643824,27.20899688,26.94840364,26.65382295,25.79073888,24.93927669,24.93997766,24.62195476,24.58283914,24.13079834,23.75703574,22.55412466,21.85341759,21.97877111
AUT,Austria,9.643921054,9.979316488,10.24457074,10.7013093,10.37127679,10.03711829,10.74001748,10.41537151,10.7054637,11.08359199,10.84947035,10.39851414,10.11503205,10.09626213,10.42520723,10.58987756,10.36965368,10.37361895,10.18879346,10.06117387,10.55263603,11.02152105,10.23148084,10.14873619,10.12357717,10.42567472,10.88263086,10.76466555,10.77742278,10.51015217,10.50348564,11.0716101,11.20773186,11.85790279,11.76423909,11.73757251,11.3918249,10.9797213,10.87420525,9.992188597,10.67867114,10.4029772,9.949187621,9.95823961,9.468764444,9.531900774,9.575124013,9.830564554,9.46631178,9.627375445,8.916425018,9.228337039,8.700068526
AZE,Azerbaijan,8.933619774,9.125019711,9.412152458,9.752963984,10.05562987,10.53008888,10.66614947,10.75441702,11.00984276,11.12470615,11.34144423,11.04935941,10.81670975,10.61654865,10.48491987,10.31845385,10.30324024,10.45816238,10.35220546,10.26277088,9.638237189,9.166490069,7.586217543,6.634980162,5.895335495,5.681096852,4.954312798,4.84698442,4.860346277,4.917087086,5.101577642,4.942993793,4.866238727,5.182695966,5.12863793,5.441003004,5.570078061,5.736351991,6.339265341,5.532638372,5.383506298,5.622779065,5.932952975,6.00959314,6.149550858,6.034016141,5.977156414,5.87993877,5.96444407,6.422024439,6.290383324,6.684442438,6.718386332
BDI,Burundi,0.661199331,0.650899076,0.670826613,0.680454026,0.680014406,0.693668338,0.686017342,0.676851831,0.671095625,0.674108274,0.601445179,0.541374159,0.534981379,0.53371879,0.537840414,0.515104005,0.543186096,0.538039129,0.54887178,0.544890867,0.564907078,0.577177691,0.55706282,0.552176391,0.534992927,0.543117449,0.548227324,0.550834157,0.537654535,0.517290164,0.520639663,0.511619105,0.494958264,0.489626091,0.500968927,0.502730745,0.51671919,0.538177402,0.527235498,0.536242274,0.564124096,0.583257511,0.573150095,0.63229543,0.614156074,0.602037442,0.618858882,0.664884096,0.670415134,0.620040911,0.598106608,0.595837044,0.590133667
